"Feenix Language Solution 
"," No. 5, 2nd floor, 5th main, KHM block, RT Nagar, Bangalore - 560032
Phone: +91 080 41244092 ",560032, Advertising/Event Mgmt/ PR/MR
"VAID Health Care Pvt Ltd 
"," No-101,RV Road, V V Puram,Near Lalbagh 
West Gate, Bengaluru",560004, Hospitals/Healthcare
"Grownwell Enterprises 
"," No : 24,Sudarshan Plaza,19th 
Main,Muneshwara Block,Bangalore-560026",560026, Telecommunication/ Mobile
"Fautor HR Management Services Pvt Ltd 
"," #224,off 100 feet road indira Nagar, 
domlur 2nd Stage,
Bangalore - 560071",560071, Placement / HR / Training Consultants
"King of Cards India 
"," No 12, 2nd floor, E-Block, 
Balaji Complex, 
Sultanpet, 
Bangalore - 560053",560053, Retail
"Kian Infotech 
"," #39, 1st floor, M.k.K Road, Near 
Navarang bus stop, Rajajinagar",560010, IT-Software Services
"Envicon Engineering Solutions 
"," No-1358, 32nd E Cross, 4th T Block Jayanagar",560041, Engineering
"Ananya SEO Services 
"," No. 49, 2nd Main, Arakere MICO Layout 1st stage",560076, IT- e-commerce/Internet
"Manthan   Retail Business Analytics 
"," Manthan Systems
40/4, Lavelle Road,
Bangalore, Karnataka ",560001, Retail
"Gopalan Enterprises Private Limited 
"," 5, Richmond Road,
Bangalore ",560025, Construction / Real  Estate
"IP Momentum 
"," 
IP Momentum (INDIA)

70/25, 80ft Circular Road,
Koramangala 4th Block,
Bangalore, Karnataka",560038, IT- Telecom /Mobile
"Sri Pradhyumna Technologies Pvt.Ltd. 
"," No 36, 1st main, 25th Cross
Maruthi Nagar, Yelehanka
Bangalore-560064",560064, IT-Software Services
"Nulook restorers 
"," 46/1, Hayavadhana Rao Road, Gavipuram Extension , Bangalore",560019, Capital Goods /Machine Manufacturing
"New Age Bizsoft Solution Pvt Ltd 
","  54 Darshan Nilaya, 2nd Floor, Indiranagar Double Road, Bangalore, Karnataka 560 038
",560038, IT- ERP/CRM
"CLARKS EXOTICA 
"," Swiss Town, Hollywood Junction,
Sadahalli Post,
Devanahalli Road",562110, Hotels / Resorts
"Paarmita software and consulting Pvt Ltd  
"," # 77 1st Cross Sahyadri Layout Panduranganagar
bannerghatta road, bangalore  ",560076, IT-Software Services
"Lakris Consultancy Services 
"," Keerthi Residency, Krishnappa lane,
Cox town",560005, Placement / HR / Training Consultants
"aathi Infotech 
"," 1st flr,No.27. vinayaka Lay out.boopa 
sandra.Sanjay nagar. Bangalore",560094, Paper/Publishing/ Printing/ Stationary
"Whyflex 
"," No.2G, 2nd Floor, Brigade Towers, Brigade Road, 
Bangalore- 560025",5600025, Placement / HR / Training Consultants
"Ability Group 
", Bangalore,5600045, Placement / HR / Training Consultants
"RMOS Admission Consultants 
"," 9th Main , Jayanagar 3rd Block , Bangalore",560018, Accounting/Consulting/ Taxation
"vsource global enterprises 
"," No.204/C, 6th main, 27th cross, 3rd Block,
Jayanagar, Bangalore ",560011, Electrical/Electronics
"Elegant Hotels & Hospitality Services 
"," No.714, Padmavati Krupa Building, 14th Cross, Chandra Layout, 1ST Stage, Nagarbhavi, Banglore",5600050, Hotels / Resorts
"Ms Properties 
"," MEENAKSHI TOWERS,
NO 1/43/2, 2nd Floor,
Singasandra,
Hosur Main Road,
Bangalore-560 068
Landmark- Above State Bank Of Patiala",560068, Real Estate Agents
"Alpha & Omega Inc 
"," Level 1, Tower B, RMZ Millenia, Murphy Road 1 & 
2, Ulsoor",560008, IT- ERP/CRM
"Eco Dream Properties 
", Banaswadi Bangalore,560053, Construction / Real  Estate
"manjunatha travels 
"," #45 millars road vascntha nagara , Bangalore",560001, Travel / Tourism
"Airways Trip 
"," Koromangala ,Bangalore,Karnataka,India",560068, Travel / Tourism
"Global Law Solutions 
"," No.22, 1st Floor NJ Chambers, Opposite Ramada Hotel, VSN Road, Tasker Town, Shivajnagar, Bangalore-51",560051, Law / Legal Consultants
"Pfiffner India 
"," C/o Ramsoft Technologies Pvt Ltd, 104/A, 4th Cross, Electronic city 1st phase, Bangalore",560100, Capital Goods /Machine Manufacturing
